"periode","year","month","segment_marche_pseudo","total_brouille","traf_4g_brouille","parc_4g_brouille","traf_5g_brouille","parc_5g_brouille"
"202501","2025","01","054077a2263fa7ac28bcf83a7b56eb7133429c37a470f05cdc7a8f92c943a52c","3589855.8680","3115707.0431","179299.36","101901.8406","30134.84"
"202501","2025","01","14b5f71ee3e4bcfca5fc65d79a03e078bc7cdd15762d4a2d0c63a00cc6ff0553","30695419.7564","27133717.7932","3570053.07","462452.9972","197015.50"
"202501","2025","01","534a2fdcbddecfd740ed7b48cdca1559289c7b9d553f883d1c893e471699d456","19333251.1453","16338929.4028","3135545.47","82307.5050","50372.01"
"202501","2025","01","8b7f30ba171e03585c594136f1bcd5f65f8bc9e3229b5a781b74fc17742961cd","4665614.6702","3588264.3082","1148670.99","22068.8774","35258.26"
"202502","2025","02","NULL","14743366.2614","12797766.4665","810650.70","1569121.2092","6181.10"
"202502","2025","02","14b5f71ee3e4bcfca5fc65d79a03e078bc7cdd15762d4a2d0c63a00cc6ff0553","30346656.1496","26651615.2373","3601670.47","587847.9559","197919.50"
"202502","2025","02","534a2fdcbddecfd740ed7b48cdca1559289c7b9d553f883d1c893e471699d456","19322525.1401","16328859.2044","3148459.11","110221.5899","52005.99"
"202502","2025","02","866a2da95fbfd60c5b9c55b01cc336cd4ca546cdf871a6a32261fe784616ee89","525331.8359","442857.9949","22276.82","32286.4956","4818.32"
"202503","2025","03","NULL","16476522.3612","13718772.0738","822624.18","2333869.7724","7298.67"
"202503","2025","03","054077a2263fa7ac28bcf83a7b56eb7133429c37a470f05cdc7a8f92c943a52c","3689081.9025","3164614.6748","151244.85","150646.8766","28587.87"
"202503","2025","03","14b5f71ee3e4bcfca5fc65d79a03e078bc7cdd15762d4a2d0c63a00cc6ff0553","37884426.7029","33254755.1518","3675543.09","736976.2368","204463.33"
"202503","2025","03","534a2fdcbddecfd740ed7b48cdca1559289c7b9d553f883d1c893e471699d456","24597442.7146","20888062.8029","3219690.92","144616.2361","54444.53"
"202503","2025","03","866a2da95fbfd60c5b9c55b01cc336cd4ca546cdf871a6a32261fe784616ee89","557298.6884","467151.2208","20408.93","34869.8903","4333.55"
"202503","2025","03","8b7f30ba171e03585c594136f1bcd5f65f8bc9e3229b5a781b74fc17742961cd","6383885.8789","4939541.6088","1250978.93","45153.0372","42397.60"
"202503","2025","03","c63abe694e9e261d7a42cd4782571086ce38398b03494e0e8b12f6dd0acb7349","3879417.8595","3235527.0790","261275.21","77030.9022","28033.04"
"202504","2025","04","NULL","16559427.3989","13258012.8562","856381.80","2893016.5758","7968.76"
"202504","2025","04","5e4f8bd6a8812fff510b03d66a01f06481ad2efbb8ea616f6067dfd4659f9e08","6684403.1865","5792208.0931","774452.28","187367.8990","54954.16"
"202504","2025","04","c63abe694e9e261d7a42cd4782571086ce38398b03494e0e8b12f6dd0acb7349","3521403.1800","2920419.8103","261583.70","79923.5666","29705.44"
"202501","2025","01","NULL","16065974.7275","14419127.0107","845106.66","1238760.1722","5842.10"
"202501","2025","01","5e4f8bd6a8812fff510b03d66a01f06481ad2efbb8ea616f6067dfd4659f9e08","6115529.3318","5359391.5381","733315.76","117560.6461","48245.35"
"202501","2025","01","866a2da95fbfd60c5b9c55b01cc336cd4ca546cdf871a6a32261fe784616ee89","654181.5549","563443.5719","25315.39","32248.0982","5677.12"
"202501","2025","01","c63abe694e9e261d7a42cd4782571086ce38398b03494e0e8b12f6dd0acb7349","3020091.3812","2515422.8044","264792.90","38961.2248","25031.76"
"202502","2025","02","054077a2263fa7ac28bcf83a7b56eb7133429c37a470f05cdc7a8f92c943a52c","3262891.4980","2799220.0896","163567.50","125526.5359","29255.70"
"202502","2025","02","5e4f8bd6a8812fff510b03d66a01f06481ad2efbb8ea616f6067dfd4659f9e08","5919256.7164","5150200.1073","740980.55","145459.9167","48619.38"
"202502","2025","02","8b7f30ba171e03585c594136f1bcd5f65f8bc9e3229b5a781b74fc17742961cd","4939340.1524","3795577.6790","1193066.43","32525.8296","38282.14"
"202502","2025","02","c63abe694e9e261d7a42cd4782571086ce38398b03494e0e8b12f6dd0acb7349","3095937.4558","2569156.5079","263717.14","57288.8643","26501.89"
"202503","2025","03","5e4f8bd6a8812fff510b03d66a01f06481ad2efbb8ea616f6067dfd4659f9e08","6904313.4809","5990903.4285","756582.46","177158.2699","50978.82"
"202504","2025","04","054077a2263fa7ac28bcf83a7b56eb7133429c37a470f05cdc7a8f92c943a52c","3410659.6092","2907566.0603","144566.55","155904.4502","28666.97"
"202504","2025","04","14b5f71ee3e4bcfca5fc65d79a03e078bc7cdd15762d4a2d0c63a00cc6ff0553","34456684.7820","30151343.4240","3755030.68","738524.8001","221790.75"
"202504","2025","04","534a2fdcbddecfd740ed7b48cdca1559289c7b9d553f883d1c893e471699d456","22158184.8708","18796472.9179","3287043.44","143358.0150","60731.85"
"202504","2025","04","866a2da95fbfd60c5b9c55b01cc336cd4ca546cdf871a6a32261fe784616ee89","501600.4686","420818.9156","19318.48","30881.2841","4136.93"
"202504","2025","04","8b7f30ba171e03585c594136f1bcd5f65f8bc9e3229b5a781b74fc17742961cd","6014069.5698","4639740.0206","1307548.99","48402.7929","47875.84"
