"periode","year","month","debut_numero_pseudo","volume"
"202505","2025","05","7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8","1.83508386222"
"202504","2025","04","a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73","77678608.574032"
"202506","2025","06","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","97432.733905471"
"202501","2025","01","f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980","23406.793500659"
"202502","2025","02","f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac","5725646.2399928"
"202502","2025","02","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","634185.07954943"
"202502","2025","02","349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9","46019004.692873"
"202505","2025","05","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","1530907.8774895"
"202502","2025","02","c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894","19455500.924392"
"202506","2025","06","7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8","0.07889732692"
"202501","2025","01","ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a","9390.6972855712"
"202504","2025","04","f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980","24818.297543512"
"202506","2025","06","a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73","4939359.8458954"
"202501","2025","01","c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894","20829358.705138"
"202504","2025","04","ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a","10844.851006488"
"202503","2025","03","f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980","23999.1928909"
"202506","2025","06","f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980","1699.8039433605"
"202504","2025","04","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","1419541.4631066"
"202505","2025","05","a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73","78638531.602372"
"202502","2025","02","7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8","0.00894272255"
"202502","2025","02","a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73","69086281.0154"
"202505","2025","05","f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980","26769.561164553"
"202504","2025","04","c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894","21789074.245228"
